abs 2.4.4-2
python2-pyqt4 4.11.4-4
python2-sip 4.18.1-1
pywebkitgtk 1.1.8-3
qpdf 6.0.0-2
qt4 4.8.7-10
qt5-base 5.7.0-3
qt5-declarative 5.7.0-3
qt5-location 5.7.0-1
qt5-script 5.7.0-1
qt5-sensors 5.7.0-1
qt5-webchannel 5.7.0-1
qt5-webkit 5.7.0-1
qt5-xmlpatterns 5.7.0-2
qtwebkit 2.3.4-4
randrproto 1.5.0-1
raptor 2.0.15-4
rasqal 1:0.9.33-1
readline 6.3.008-4
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-1
rsync 3.1.2-1
run-parts 4.7-1
s-nail 14.8.14-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-2
sed 4.2.2-4
shadow 4.4-2
shared-mime-info 1.7-1
sip 4.18.1-1
skype 4.3.0.37-8
smbclient 4.5.1-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.15.0-1
sshfs 2.8-1
startup-notification 0.12-4
sudo 1.8.18.p1-1
swig 3.0.10-1
sysfsutils 2.1.0-9
systemd 231-4
systemd-sysvcompat 231-4
t1lib 5.1.2-5
talloc 2.1.8-1
tar 1.29-1
tdb 1.3.11-1
tevent 1:0.9.31-1
texinfo 6.3-1
texlive-bibtexextra 2016.42278-1
texlive-bin 2016.41290-6
texlive-core 2016.41843-1
texlive-fontsextra 2016.42286-1
texlive-formatsextra 2016.41438-2
texlive-games 2016.39318-2
texlive-genericextra 2016.41413-2
texlive-htmlxml 2016.41440-2
texlive-humanities 2016.41380-2
texlive-langchinese 2016.41405-2
texlive-langcyrillic 2016.41231-2
texlive-langextra 2016.41397-2
texlive-langgreek 2016.40850-2
texlive-langjapanese 2016.41443-2
texlive-langkorean 2016.40373-2
texlive-latexextra 2016.42294-1
texlive-music 2016.41389-2
texlive-pictures 2016.41299-2
texlive-plainextra 2016.41437-2
texlive-pstricks 2016.41321-2
texlive-publishers 2016.41474-2
texlive-science 2016.41327-2
thin-provisioning-tools 0.6.3-1
thunderbird 45.4.0-1
tigervnc 1.7.0-1
tilda 1.3.3-1
trayer 1.0-8
tslib 1.1-1
ttf-dejavu 2.35-1
tzdata 2016h-1
usbutils 008-1
util-linux 2.28.2-1
v4l-utils 1.10.1-1
vi 1:070224-2
